fecha,hora,maceta,humedad_raw_1,humedad_raw_2,humedad_pct_1,humedad_pct_2,humedad_pct_promedio,lux,dli_acumulado,temperatura_c,humedad_ambiente_pct,luz_encendida,ventilador_encendido,riego_pendiente,alertas
2026-05-28,17:57:17,maceta1,156,142,49,56,52,426.6666666666667,,,0,0,1,Lectura invalida de DHT
2026-05-28,17:57:17,maceta2,104,107,76,75,75,,,,1,0,0,
2026-05-28,17:58:12,maceta1,155,142,50,56,53,428.75,17.6,77.3,0,0,1,
2026-05-28,17:58:12,maceta2,104,107,76,75,75,,,,1,0,0,
2026-05-28,17:58:39,maceta1,156,142,49,56,52,427.08333333333337,17.6,77.8,0,0,1,
2026-05-28,17:58:39,maceta2,104,107,76,75,75,33.333333333333336,,,1,0,0,Lectura invalida de DHT
2026-05-28,17:59:35,maceta1,128,136,64,60,62,427.08333333333337,,,0,0,1,Lectura invalida de DHT
2026-05-28,17:59:35,maceta2,106,108,75,74,74,43.333333333333336,,,1,0,0,Lectura invalida de DHT
2026-05-28,18:00:31,maceta1,128,128,64,64,64,428.75,17.5,76.1,0,0,1,
2026-05-28,18:00:31,maceta2,105,107,76,75,75,42.5,0.1,2.0,1,0,0,
2026-05-28,18:01:26,maceta1,155,141,50,57,53,382.9166666666667,,,0,0,1,Lectura invalida de DHT
2026-05-28,18:01:26,maceta2,103,106,77,75,76,44.583333333333336,0.3,2.0,1,0,0,
2026-05-28,18:02:21,maceta1,155,141,50,57,53,428.33333333333337,17.5,74.6,0,0,1,
2026-05-28,18:02:21,maceta2,105,106,76,75,75,47.91666666666667,,,1,0,0,Lectura invalida de DHT
2026-05-28,18:03:17,maceta1,155,142,50,56,53,209.58333333333334,17.5,74.1,0,0,1,
2026-05-28,18:03:17,maceta2,119,114,68,71,69,47.91666666666667,0.5,2.0,1,0,0,
2026-05-28,18:04:12,maceta1,128,128,64,64,64,310.0,,,0,0,1,Lectura invalida de DHT
2026-05-28,18:04:12,maceta2,103,106,77,75,76,47.91666666666667,0.7,2.0,1,0,0,
2026-05-28,18:05:08,maceta1,128,128,64,64,64,261.25,,,0,0,1,Lectura invalida de DHT
2026-05-28,18:05:08,maceta2,104,106,76,75,75,47.5,0.8,2.0,1,0,0,
2026-05-28,18:06:03,maceta1,155,142,50,56,53,368.33333333333337,17.7,73.4,0,0,1,
2026-05-28,18:06:03,maceta2,113,128,72,64,68,80.83333333333334,0.9,2.0,1,0,0,
2026-05-28,18:07:00,maceta1,155,142,50,56,53,418.33333333333337,,,0,0,1,Lectura invalida de DHT
2026-05-28,18:07:00,maceta2,104,106,76,75,75,33.75,1.0,2.0,1,0,0,
2026-05-28,18:07:55,maceta1,155,142,50,56,53,431.25,17.8,75.1,0,0,1,
2026-05-28,18:07:55,maceta2,106,108,75,74,74,42.91666666666667,1.2,2.0,1,0,0,
2026-05-28,18:08:51,maceta1,128,128,64,64,64,432.9166666666667,17.8,74.2,0,0,1,
2026-05-28,18:08:51,maceta2,103,105,77,76,76,38.333333333333336,1.3,2.0,1,0,0,
2026-05-28,18:09:49,maceta1,128,128,64,64,64,432.9166666666667,17.9,73.4,0,0,1,
2026-05-28,18:09:49,maceta2,105,107,76,75,75,38.75,1.4,2.0,1,0,0,
2026-05-28,18:10:44,maceta1,128,128,64,64,64,432.5,17.9,75.0,0,0,1,
2026-05-28,18:10:44,maceta2,105,107,76,75,75,30.833333333333336,1.5,2.0,1,0,0,
2026-05-28,18:11:42,maceta1,128,128,64,64,64,432.5,,,0,0,1,Lectura invalida de DHT
2026-05-28,18:11:42,maceta2,108,110,74,73,73,27.083333333333336,1.5,2.0,1,0,0,
2026-05-28,18:12:37,maceta1,128,128,64,64,64,432.08333333333337,17.9,74.7,0,0,1,
2026-05-28,18:12:37,maceta2,107,110,75,73,74,32.083333333333336,0.0,2.0,1,0,0,
2026-05-28,18:13:33,maceta1,157,143,48,56,52,432.08333333333337,18.0,74.0,0,0,1,
2026-05-28,18:13:33,maceta2,106,109,75,74,74,55.833333333333336,0.1,2.0,1,0,0,
2026-05-28,18:14:29,maceta1,158,145,48,55,51,426.6666666666667,17.9,73.3,0,0,1,
2026-05-28,18:14:29,maceta2,110,111,73,73,73,16.666666666666668,0.2,2.0,1,0,0,
2026-05-28,18:15:24,maceta1,157,142,48,56,52,417.9166666666667,17.9,73.8,0,0,1,
2026-05-28,18:15:24,maceta2,106,108,75,74,74,34.583333333333336,0.2,2.0,1,0,0,
2026-05-28,18:16:20,maceta1,128,128,64,64,64,431.6666666666667,17.8,72.8,0,0,1,
2026-05-28,18:16:20,maceta2,107,110,75,73,74,53.333333333333336,0.4,2.0,1,0,0,
2026-05-28,18:17:15,maceta1,128,128,64,64,64,430.83333333333337,,,0,0,1,Lectura invalida de DHT
2026-05-28,18:17:15,maceta2,108,109,74,74,74,53.333333333333336,0.4,2.0,1,0,0,
2026-05-28,18:17:52,maceta1,155,142,50,56,53,428.33333333333337,,,1,0,1,Lectura invalida de DHT
2026-05-28,18:17:52,maceta2,107,110,75,73,74,45.833333333333336,0.6,2.0,1,0,0,
2026-05-28,18:18:47,maceta1,155,141,50,57,53,496.6666666666667,17.9,74.6,1,0,1,
2026-05-28,18:18:47,maceta2,110,110,73,73,73,50.41666666666667,0.4,2.0,1,0,0,
2026-05-28,18:19:42,maceta1,144,128,55,64,59,358.33333333333337,17.9,73.6,1,0,1,
2026-05-28,18:19:42,maceta2,107,111,75,73,74,53.333333333333336,0.4,2.0,1,0,0,
2026-05-28,18:20:36,maceta1,138,128,58,64,61,497.08333333333337,18.0,74.3,1,0,1,
2026-05-28,18:20:36,maceta2,110,111,73,73,73,47.91666666666667,0.4,2.0,1,0,0,
2026-05-28,18:21:31,maceta1,156,142,49,56,52,501.25,18.1,73.4,1,0,1,
2026-05-28,18:21:31,maceta2,111,114,73,71,72,32.083333333333336,0.4,2.0,1,0,0,
2026-05-28,18:22:26,maceta1,156,142,49,56,52,498.75,18.2,73.4,1,0,1,
2026-05-28,18:22:26,maceta2,110,112,73,72,72,42.083333333333336,0.9,2.0,1,0,0,
2026-05-28,18:23:20,maceta1,145,128,55,64,59,423.75,18.3,73.3,1,0,1,
2026-05-28,18:23:20,maceta2,112,248,72,1,36,21.666666666666668,0.5,2.0,1,0,0,Discrepancia alta entre sensores de humedad: 72% vs 1%
2026-05-28,18:24:15,maceta1,156,142,49,56,52,411.6666666666667,18.3,73.7,1,0,1,
2026-05-28,18:24:15,maceta2,110,112,73,72,72,20.833333333333336,,,1,0,0,Lectura invalida de DHT
2026-05-28,18:24:56,maceta1,157,144,48,55,51,348.33333333333337,18.4,72.8,1,0,1,
2026-05-28,18:24:56,maceta2,109,111,74,73,73,18.75,19.7,59.7,1,0,0,
2026-05-28,18:55:21,maceta1,128,128,64,64,64,133.33333333333334,19.4,70.0,1,0,1,
2026-05-28,18:55:21,maceta2,104,109,76,74,75,2.916666666666667,19.5,60.2,1,0,0,
2026-05-28,19:25:45,maceta1,128,119,64,68,66,131.25,19.3,69.3,1,0,1,
2026-05-28,19:25:45,maceta2,105,111,76,73,74,2.916666666666667,18.3,66.1,1,0,0,
2026-05-28,19:56:10,maceta1,87,83,85,87,86,137.91666666666669,19.4,68.4,1,0,0,
2026-05-28,19:56:10,maceta2,109,128,74,64,69,2.916666666666667,,,1,0,0,Lectura invalida de DHT
2026-05-28,20:26:12,maceta1,128,128,64,64,64,136.66666666666669,,,1,0,1,Lectura invalida de DHT
2026-05-28,20:26:12,maceta2,103,108,77,74,75,2.916666666666667,18.0,66.7,1,0,0,
2026-05-28,20:56:37,maceta1,86,83,86,87,86,139.16666666666669,19.4,68.1,1,0,0,
2026-05-28,20:56:37,maceta2,103,109,77,74,75,2.916666666666667,18.0,66.7,1,0,0,
2026-05-28,21:26:39,maceta1,128,128,64,64,64,133.75,19.4,69.3,1,0,1,
2026-05-28,21:26:39,maceta2,104,109,76,74,75,2.916666666666667,18.0,66.8,1,0,0,
2026-05-28,21:57:04,maceta1,87,84,85,87,86,131.66666666666669,19.4,67.8,1,0,0,
2026-05-28,21:57:04,maceta2,104,109,76,74,75,2.916666666666667,18.0,66.6,1,0,0,
2026-05-28,22:27:06,maceta1,128,128,64,64,64,137.08333333333334,19.4,70.0,1,0,1,
2026-05-28,22:27:06,maceta2,104,109,76,74,75,2.916666666666667,18.0,66.6,1,0,0,
2026-05-28,22:57:30,maceta1,128,128,64,64,64,130.41666666666669,,,1,0,1,Lectura invalida de DHT
2026-05-28,22:57:30,maceta2,103,108,77,74,75,2.916666666666667,18.0,66.6,1,0,0,
